"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2051","Given I send login url","","Thu Sep 12 00:31:42 WIB 2024","passed","Thu Sep 12 00:31:45 WIB 2024","","login Feature: As a user, I can login into superapp dashboard","",""
"","3","hook:","","Thu Sep 12 00:34:49 WIB 2024","failed","Thu Sep 12 00:34:49 WIB 2024","","","",""
"","131","And User click ""fieldTipeProduk"" in ""menuMissionV4""","","Thu Sep 12 00:34:27 WIB 2024","passed","Thu Sep 12 00:34:27 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","528","And User input batas pemenang in ""menuMissionV4""","","Thu Sep 12 00:34:38 WIB 2024","passed","Thu Sep 12 00:34:39 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","0","Then User able to see ""Purchase Order berhasil dibuat!"" message verification","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","784","And User clicks ""fieldJenisPO"" button in ""PO"" page","","Thu Sep 12 00:53:57 WIB 2024","passed","Thu Sep 12 00:53:58 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","10015","Then User able to see ""Data berhasil disimpan"" message verification","","Thu Sep 12 00:34:39 WIB 2024","passed","Thu Sep 12 00:34:49 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","1","And User fill ""fieldHargaSatuanModalPO"" with value ""95000"" in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1","And User fill ""fieldProdukModalPO"" with value ""Automated Stock"" in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1","And User verified ""purchase order cost"" for ""textValuePPN"" is ""Rp 10.395.000,000""","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","0","And User verified ""purchase order cost"" for ""textValueSubTotal"" is ""Rp 104.895.000,000""","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
